train_cost,test_cost,train_effeciency,test_efficiency
13.8593,28.6378,0.399103,0.311715
13.8537,28.6325,0.399103,0.313808
13.8481,28.6273,0.400897,0.313808
13.8425,28.622,0.401794,0.313808
13.8369,28.6168,0.403587,0.313808
13.8313,28.6116,0.403587,0.313808
13.8258,28.6064,0.403587,0.3159
13.8203,28.6012,0.404484,0.3159
13.8148,28.596,0.405381,0.3159
13.8093,28.5909,0.407175,0.317992
13.8038,28.5858,0.407175,0.320084
13.7983,28.5806,0.407175,0.320084
13.7929,28.5755,0.409865,0.322176
13.7875,28.5704,0.410762,0.324268
13.7821,28.5653,0.411659,0.324268
13.7767,28.5603,0.412556,0.32636
13.7713,28.5552,0.412556,0.330544
13.7659,28.5502,0.413453,0.332636
13.7606,28.5451,0.41435,0.332636
13.7553,28.5401,0.415247,0.334728
13.75,28.5351,0.416143,0.334728
13.7447,28.5301,0.416143,0.334728
13.7394,28.5252,0.416143,0.334728
13.7341,28.5202,0.416143,0.334728
13.7289,28.5153,0.418834,0.334728
13.7237,28.5103,0.419731,0.334728
13.7184,28.5054,0.419731,0.334728
13.7132,28.5005,0.421525,0.334728
13.7081,28.4956,0.421525,0.334728
13.7029,28.4907,0.422422,0.334728
13.6977,28.4859,0.423318,0.334728
13.6926,28.481,0.423318,0.334728
13.6875,28.4762,0.423318,0.33682
13.6824,28.4713,0.423318,0.33682
13.6773,28.4665,0.424215,0.33682
13.6722,28.4617,0.426009,0.338912
13.6672,28.4569,0.426009,0.338912
13.6621,28.4521,0.426009,0.338912
13.6571,28.4474,0.426906,0.341004
13.6521,28.4426,0.4287,0.34728
13.6471,28.4379,0.429596,0.34728
13.6421,28.4331,0.43139,0.34728
13.6371,28.4284,0.433184,0.34728
13.6322,28.4237,0.434081,0.349372
13.6272,28.419,0.435874,0.349372
13.6223,28.4143,0.435874,0.349372
13.6174,28.4097,0.436771,0.349372
13.6125,28.405,0.436771,0.349372
13.6076,28.4004,0.438565,0.349372
13.6027,28.3957,0.439462,0.349372
13.5979,28.3911,0.442152,0.351464
13.593,28.3865,0.443049,0.353556
13.5882,28.3819,0.443049,0.353556
13.5834,28.3773,0.443049,0.353556
13.5786,28.3728,0.443946,0.353556
13.5738,28.3682,0.444843,0.353556
13.5691,28.3636,0.444843,0.353556
13.5643,28.3591,0.44574,0.353556
13.5596,28.3546,0.446637,0.355649
13.5548,28.3501,0.44843,0.357741
13.5501,28.3456,0.450224,0.357741
13.5454,28.3411,0.451121,0.359833
13.5407,28.3366,0.452018,0.359833
13.536,28.3321,0.452018,0.359833
13.5314,28.3277,0.452915,0.359833
13.5267,28.3232,0.452915,0.359833
13.5221,28.3188,0.453812,0.359833
13.5175,28.3144,0.453812,0.359833
13.5129,28.3099,0.454709,0.359833
13.5083,28.3055,0.455605,0.359833
13.5037,28.3012,0.455605,0.359833
13.4991,28.2968,0.459193,0.359833
13.4946,28.2924,0.459193,0.359833
13.49,28.288,0.459193,0.359833
13.4855,28.2837,0.46009,0.359833
13.481,28.2794,0.46009,0.359833
13.4765,28.275,0.46009,0.359833
13.472,28.2707,0.461883,0.359833
13.4675,28.2664,0.461883,0.361925
13.463,28.2621,0.46278,0.361925
13.4586,28.2578,0.463677,0.366109
13.4541,28.2536,0.464574,0.366109
13.4497,28.2493,0.464574,0.366109
13.4453,28.2451,0.467265,0.366109
13.4409,28.2408,0.468161,0.366109
13.4365,28.2366,0.469058,0.366109
13.4321,28.2324,0.471749,0.366109
13.4278,28.2282,0.471749,0.366109
13.4234,28.224,0.471749,0.366109
13.4191,28.2198,0.473543,0.366109
13.4147,28.2156,0.476233,0.366109
13.4104,28.2114,0.476233,0.366109
13.4061,28.2073,0.476233,0.366109
13.4018,28.2031,0.476233,0.366109
13.3975,28.199,0.47713,0.366109
13.3933,28.1948,0.47713,0.366109
13.389,28.1907,0.478924,0.366109
13.3847,28.1866,0.478924,0.368201
13.3805,28.1825,0.478924,0.368201
13.3763,28.1784,0.478924,0.368201
13.3721,28.1743,0.478924,0.370293
13.3679,28.1703,0.479821,0.370293
13.3637,28.1662,0.480717,0.372385
13.3595,28.1622,0.481614,0.372385
13.3553,28.1581,0.482511,0.372385
13.3512,28.1541,0.482511,0.372385
13.347,28.1501,0.483408,0.372385
13.3429,28.1461,0.484305,0.372385
13.3388,28.1421,0.484305,0.372385
13.3347,28.1381,0.484305,0.372385
13.3306,28.1341,0.485202,0.372385
13.3265,28.1301,0.486099,0.372385
13.3224,28.1261,0.486996,0.372385
13.3183,28.1222,0.487892,0.372385
13.3143,28.1182,0.487892,0.376569
13.3102,28.1143,0.490583,0.378661
13.3062,28.1104,0.490583,0.378661
13.3022,28.1065,0.490583,0.378661
13.2982,28.1025,0.49148,0.380753
13.2942,28.0986,0.492377,0.380753
13.2902,28.0948,0.493274,0.380753
13.2862,28.0909,0.495067,0.382845
13.2822,28.087,0.49417,0.382845
13.2783,28.0831,0.49417,0.384937
13.2743,28.0793,0.495964,0.384937
13.2704,28.0754,0.496861,0.384937
13.2664,28.0716,0.497758,0.387029
13.2625,28.0678,0.498655,0.387029
13.2586,28.064,0.499552,0.387029
13.2547,28.0601,0.500448,0.389121
13.2508,28.0563,0.502242,0.389121
13.2469,28.0525,0.502242,0.389121
13.2431,28.0488,0.502242,0.389121
13.2392,28.045,0.502242,0.389121
13.2354,28.0412,0.502242,0.389121
13.2315,28.0375,0.502242,0.389121
13.2277,28.0337,0.502242,0.389121
13.2239,28.03,0.503139,0.391213
13.2201,28.0262,0.504036,0.391213
13.2163,28.0225,0.504933,0.391213
13.2125,28.0188,0.504933,0.391213
13.2087,28.0151,0.50583,0.391213
13.205,28.0114,0.509417,0.393305
13.2012,28.0077,0.509417,0.39749
13.1975,28.004,0.511211,0.399582
13.1937,28.0003,0.513004,0.401674
13.19,27.9967,0.513901,0.401674
13.1863,27.993,0.513901,0.401674
13.1826,27.9894,0.514798,0.401674
13.1789,27.9857,0.516592,0.403766
13.1752,27.9821,0.516592,0.403766
13.1715,27.9785,0.516592,0.40795
13.1678,27.9749,0.516592,0.410042
13.1642,27.9712,0.517489,0.410042
13.1605,27.9676,0.519283,0.410042
13.1569,27.964,0.519283,0.410042
13.1532,27.9605,0.521973,0.410042
13.1496,27.9569,0.521973,0.412134
13.146,27.9533,0.521973,0.412134
13.1424,27.9498,0.523767,0.414226
13.1388,27.9462,0.523767,0.416318
13.1352,27.9427,0.523767,0.41841
13.1316,27.9391,0.525561,0.420502
13.128,27.9356,0.526457,0.422594
13.1245,27.9321,0.526457,0.420502
13.1209,27.9286,0.526457,0.422594
13.1174,27.925,0.526457,0.422594
13.1139,27.9215,0.526457,0.422594
13.1103,27.9181,0.526457,0.424686
13.1068,27.9146,0.527354,0.424686
13.1033,27.9111,0.528251,0.424686
13.0998,27.9076,0.528251,0.426778
13.0963,27.9042,0.528251,0.426778
13.0928,27.9007,0.528251,0.42887
13.0894,27.8973,0.530045,0.42887
13.0859,27.8938,0.530045,0.42887
13.0824,27.8904,0.530045,0.42887
13.079,27.887,0.532735,0.42887
13.0755,27.8836,0.533632,0.42887
13.0721,27.8801,0.533632,0.430962
13.0687,27.8767,0.533632,0.430962
13.0653,27.8733,0.533632,0.433054
13.0619,27.87,0.534529,0.437238
13.0585,27.8666,0.534529,0.437238
13.0551,27.8632,0.535426,0.437238
13.0517,27.8598,0.535426,0.437238
13.0483,27.8565,0.536323,0.437238
13.045,27.8531,0.53722,0.437238
13.0416,27.8498,0.53722,0.437238
13.0383,27.8464,0.538117,0.437238
13.0349,27.8431,0.538117,0.437238
13.0316,27.8398,0.539013,0.437238
13.0283,27.8365,0.540807,0.437238
13.025,27.8332,0.540807,0.437238
13.0217,27.8299,0.540807,0.437238
13.0184,27.8266,0.540807,0.437238
13.0151,27.8233,0.540807,0.437238
13.0118,27.82,0.541704,0.437238
13.0085,27.8167,0.542601,0.437238
13.0052,27.8135,0.543498,0.437238
13.002,27.8102,0.544395,0.437238
12.9987,27.8069,0.545291,0.437238
12.9955,27.8037,0.546188,0.437238
12.9923,27.8004,0.546188,0.439331
12.989,27.7972,0.547085,0.441423
12.9858,27.794,0.547085,0.441423
12.9826,27.7908,0.547982,0.441423
12.9794,27.7876,0.549776,0.441423
12.9762,27.7843,0.550673,0.441423
12.973,27.7811,0.549776,0.441423
12.9698,27.7779,0.549776,0.441423
12.9666,27.7748,0.55157,0.441423
12.9635,27.7716,0.55157,0.443515
12.9603,27.7684,0.55157,0.443515
12.9572,27.7652,0.553363,0.443515
12.954,27.7621,0.553363,0.443515
12.9509,27.7589,0.55426,0.443515
12.9477,27.7558,0.55426,0.443515
12.9446,27.7526,0.555157,0.443515
12.9415,27.7495,0.556054,0.443515
12.9384,27.7464,0.556951,0.443515
12.9353,27.7432,0.556951,0.443515
12.9322,27.7401,0.556951,0.443515
12.9291,27.737,0.557848,0.443515
12.926,27.7339,0.557848,0.443515
12.923,27.7308,0.558744,0.443515
12.9199,27.7277,0.559641,0.445607
12.9168,27.7246,0.559641,0.445607
12.9138,27.7216,0.560538,0.445607
12.9108,27.7185,0.560538,0.445607
12.9077,27.7154,0.561435,0.445607
12.9047,27.7124,0.565919,0.447699
12.9017,27.7093,0.565919,0.447699
12.8987,27.7062,0.567713,0.447699
12.8956,27.7032,0.56861,0.447699
12.8926,27.7002,0.56861,0.449791
12.8896,27.6971,0.56861,0.451883
12.8867,27.6941,0.56861,0.451883
12.8837,27.6911,0.569507,0.451883
12.8807,27.6881,0.569507,0.451883
12.8777,27.6851,0.572197,0.451883
12.8748,27.6821,0.572197,0.451883
12.8718,27.6791,0.573094,0.451883
12.8689,27.6761,0.573991,0.451883
12.8659,27.6731,0.574888,0.451883
12.863,27.6701,0.574888,0.453975
12.8601,27.6672,0.574888,0.456067
12.8572,27.6642,0.574888,0.456067
12.8542,27.6612,0.575785,0.456067
12.8513,27.6583,0.575785,0.456067
12.8484,27.6553,0.575785,0.456067
12.8455,27.6524,0.575785,0.458159
12.8426,27.6495,0.576682,0.458159
12.8398,27.6465,0.577578,0.458159
12.8369,27.6436,0.578475,0.458159
12.834,27.6407,0.578475,0.460251
12.8312,27.6378,0.578475,0.460251
12.8283,27.6349,0.578475,0.460251
12.8255,27.632,0.579372,0.462343
12.8226,27.6291,0.579372,0.462343
12.8198,27.6262,0.580269,0.464435
12.817,27.6233,0.580269,0.464435
12.8141,27.6204,0.580269,0.464435
12.8113,27.6175,0.580269,0.466527
12.8085,27.6147,0.580269,0.466527
12.8057,27.6118,0.580269,0.466527
12.8029,27.6089,0.582063,0.466527
12.8001,27.6061,0.58296,0.466527
12.7973,27.6032,0.58296,0.466527
12.7945,27.6004,0.583857,0.466527
12.7918,27.5976,0.584753,0.466527
12.789,27.5947,0.584753,0.468619
12.7862,27.5919,0.58565,0.468619
12.7835,27.5891,0.58565,0.468619
12.7807,27.5863,0.58565,0.468619
12.778,27.5835,0.586547,0.468619
12.7752,27.5807,0.588341,0.468619
12.7725,27.5779,0.590135,0.468619
12.7698,27.5751,0.590135,0.468619
12.7671,27.5723,0.590135,0.468619
12.7644,27.5695,0.591031,0.468619
12.7616,27.5667,0.591031,0.468619
12.7589,27.5639,0.591928,0.468619
12.7563,27.5612,0.591928,0.468619
12.7536,27.5584,0.592825,0.468619
12.7509,27.5557,0.593722,0.468619
12.7482,27.5529,0.594619,0.468619
12.7455,27.5502,0.595516,0.468619
12.7429,27.5474,0.596413,0.468619
12.7402,27.5447,0.596413,0.468619
12.7375,27.5419,0.596413,0.468619
12.7349,27.5392,0.596413,0.468619
12.7322,27.5365,0.596413,0.468619
12.7296,27.5338,0.596413,0.468619
12.727,27.5311,0.596413,0.470711
12.7243,27.5284,0.596413,0.470711
12.7217,27.5257,0.596413,0.470711
12.7191,27.523,0.597309,0.470711
12.7165,27.5203,0.597309,0.470711
12.7139,27.5176,0.598206,0.470711
12.7113,27.5149,0.599103,0.470711
12.7087,27.5122,0.6,0.470711
12.7061,27.5096,0.601794,0.470711
12.7035,27.5069,0.601794,0.468619
12.701,27.5042,0.601794,0.468619
12.6984,27.5016,0.601794,0.470711
12.6958,27.4989,0.601794,0.470711
12.6933,27.4963,0.601794,0.472803
12.6907,27.4936,0.602691,0.474895
12.6881,27.491,0.602691,0.474895
12.6856,27.4884,0.603587,0.474895
12.6831,27.4857,0.604484,0.474895
12.6805,27.4831,0.605381,0.474895
12.678,27.4805,0.605381,0.474895
12.6755,27.4779,0.605381,0.474895
12.673,27.4753,0.605381,0.474895
12.6704,27.4727,0.606278,0.474895
12.6679,27.4701,0.606278,0.474895
12.6654,27.4675,0.606278,0.474895
12.6629,27.4649,0.606278,0.474895
12.6604,27.4623,0.606278,0.474895
12.658,27.4597,0.607175,0.474895
12.6555,27.4571,0.608969,0.474895
12.653,27.4545,0.609865,0.474895
12.6505,27.452,0.610762,0.474895
12.6481,27.4494,0.610762,0.474895
12.6456,27.4469,0.610762,0.474895
12.6431,27.4443,0.612556,0.476987
12.6407,27.4418,0.612556,0.476987
12.6382,27.4392,0.612556,0.476987
12.6358,27.4367,0.612556,0.479079
12.6334,27.4341,0.612556,0.479079
12.6309,27.4316,0.613453,0.479079
12.6285,27.4291,0.61435,0.479079
12.6261,27.4265,0.61435,0.479079
12.6237,27.424,0.61435,0.479079
12.6213,27.4215,0.61435,0.481172
12.6188,27.419,0.61435,0.481172
12.6164,27.4165,0.61435,0.481172
12.614,27.414,0.615247,0.481172
12.6117,27.4115,0.615247,0.483264
12.6093,27.409,0.616143,0.483264
12.6069,27.4065,0.616143,0.483264
12.6045,27.404,0.616143,0.485356
12.6021,27.4016,0.61704,0.487448
12.5998,27.3991,0.61704,0.487448
12.5974,27.3966,0.61704,0.48954
12.595,27.3941,0.61704,0.48954
12.5927,27.3917,0.616143,0.48954
12.5903,27.3892,0.61704,0.48954
12.588,27.3868,0.61704,0.491632
12.5857,27.3843,0.61704,0.491632
12.5833,27.3819,0.61704,0.491632
12.581,27.3794,0.61704,0.493724
12.5787,27.377,0.617937,0.495816
12.5763,27.3746,0.617937,0.495816
12.574,27.3721,0.617937,0.497908
12.5717,27.3697,0.617937,0.497908
12.5694,27.3673,0.617937,0.497908
12.5671,27.3649,0.617937,0.497908
12.5648,27.3625,0.618834,0.497908
12.5625,27.3601,0.620628,0.497908
12.5602,27.3577,0.621525,0.497908
12.5579,27.3553,0.621525,0.497908
12.5557,27.3529,0.621525,0.497908
12.5534,27.3505,0.622422,0.497908
12.5511,27.3481,0.623318,0.497908
12.5488,27.3457,0.623318,0.497908
12.5466,27.3433,0.623318,0.497908
12.5443,27.3409,0.624215,0.497908
12.5421,27.3386,0.625112,0.497908
12.5398,27.3362,0.626906,0.497908
12.5376,27.3338,0.626906,0.497908
12.5353,27.3315,0.626906,0.497908
12.5331,27.3291,0.626906,0.5
12.5309,27.3268,0.626906,0.502092
12.5286,27.3244,0.626906,0.504184
12.5264,27.3221,0.627803,0.506276
12.5242,27.3197,0.6287,0.506276
12.522,27.3174,0.629596,0.506276
12.5198,27.3151,0.630493,0.506276
12.5176,27.3127,0.633184,0.506276
12.5154,27.3104,0.634978,0.506276
12.5132,27.3081,0.634978,0.506276
12.511,27.3058,0.634978,0.506276
12.5088,27.3035,0.635874,0.506276
12.5066,27.3012,0.635874,0.508368
12.5044,27.2989,0.635874,0.508368
12.5022,27.2966,0.636771,0.51046
12.5001,27.2943,0.636771,0.51046
12.4979,27.292,0.637668,0.512552
12.4957,27.2897,0.637668,0.512552
12.4936,27.2874,0.639462,0.512552
12.4914,27.2851,0.640359,0.512552
12.4893,27.2828,0.641256,0.512552
12.4871,27.2805,0.641256,0.512552
12.485,27.2783,0.642152,0.512552
12.4828,27.276,0.642152,0.512552
12.4807,27.2737,0.642152,0.512552
12.4786,27.2715,0.642152,0.512552
12.4765,27.2692,0.643049,0.514644
12.4743,27.267,0.643946,0.514644
12.4722,27.2647,0.644843,0.514644
12.4701,27.2625,0.646637,0.514644
12.468,27.2602,0.647534,0.514644
12.4659,27.258,0.647534,0.514644
12.4638,27.2558,0.64843,0.514644
12.4617,27.2535,0.64843,0.514644
12.4596,27.2513,0.64843,0.514644
12.4575,27.2491,0.650224,0.514644
12.4554,27.2469,0.650224,0.514644
12.4533,27.2446,0.650224,0.518828
