train,test
4.12008,4.10511
4.11526,4.10032
4.11046,4.09555
4.10566,4.09079
4.10088,4.08604
4.09611,4.0813
4.09136,4.07658
4.08661,4.07186
4.08188,4.06716
4.07716,4.06247
4.07245,4.05779
4.06775,4.05313
4.06306,4.04848
4.05839,4.04383
4.05373,4.0392
4.04908,4.03459
4.04444,4.02998
4.03981,4.02538
4.0352,4.0208
4.0306,4.01623
4.026,4.01167
4.02143,4.00712
4.01686,4.00259
4.0123,3.99806
4.00776,3.99355
4.00322,3.98905
3.9987,3.98456
3.99419,3.98008
3.98969,3.97561
3.9852,3.97116
3.98073,3.96671
3.97626,3.96228
3.97181,3.95786
3.96737,3.95345
3.96294,3.94905
3.95852,3.94466
3.95411,3.94028
3.94971,3.93592
3.94533,3.93157
3.94095,3.92722
3.93659,3.92289
3.93224,3.91857
3.9279,3.91426
3.92357,3.90996
3.91925,3.90567
3.91494,3.9014
3.91064,3.89713
3.90636,3.89288
3.90208,3.88863
3.89782,3.8844
3.89356,3.88018
3.88932,3.87597
3.88509,3.87177
3.88087,3.86758
3.87666,3.8634
3.87246,3.85923
3.86827,3.85507
3.86409,3.85093
3.85992,3.84679
3.85577,3.84267
3.85162,3.83855
3.84749,3.83445
3.84336,3.83035
3.83925,3.82627
3.83514,3.8222
3.83105,3.81813
3.82696,3.81408
3.82289,3.81004
3.81883,3.80601
3.81478,3.80199
3.81073,3.79798
3.8067,3.79398
3.80268,3.78999
3.79867,3.78601
3.79467,3.78204
3.79068,3.77808
3.7867,3.77413
3.78273,3.77019
3.77877,3.76626
3.77482,3.76234
3.77088,3.75843
3.76694,3.75453
3.76302,3.75064
3.75911,3.74676
3.75521,3.74289
3.75132,3.73903
3.74744,3.73518
3.74357,3.73134
3.73971,3.72751
3.73586,3.72369
3.73202,3.71988
3.72818,3.71608
3.72436,3.71229
3.72055,3.7085
3.71675,3.70473
3.71295,3.70097
3.70917,3.69722
3.70539,3.69347
3.70163,3.68974
3.69787,3.68601
3.69413,3.6823
3.69039,3.67859
3.68667,3.6749
3.68295,3.67121
3.67924,3.66753
3.67554,3.66386
3.67185,3.6602
3.66817,3.65655
3.6645,3.65291
3.66084,3.64928
3.65718,3.64566
3.65354,3.64205
3.64991,3.63844
3.64628,3.63485
3.64267,3.63126
3.63906,3.62769
3.63546,3.62412
3.63187,3.62056
3.62829,3.61701
3.62472,3.61347
3.62116,3.60994
3.6176,3.60641
3.61406,3.6029
3.61052,3.59939
3.607,3.5959
3.60348,3.59241
3.59997,3.58893
3.59647,3.58546
3.59298,3.582
3.5895,3.57854
3.58602,3.5751
3.58255,3.57166
3.5791,3.56823
3.57565,3.56482
3.57221,3.5614
3.56878,3.558
3.56535,3.55461
3.56194,3.55122
3.55853,3.54785
3.55514,3.54448
3.55175,3.54112
3.54836,3.53777
3.54499,3.53442
3.54163,3.53109
3.53827,3.52776
3.53492,3.52444
3.53158,3.52113
3.52825,3.51783
3.52493,3.51454
3.52161,3.51125
3.51831,3.50797
3.51501,3.50471
3.51172,3.50144
3.50844,3.49819
3.50516,3.49494
3.50189,3.49171
3.49864,3.48848
3.49538,3.48526
3.49214,3.48204
3.48891,3.47884
3.48568,3.47564
3.48246,3.47245
3.47925,3.46926
3.47605,3.46609
3.47285,3.46292
3.46966,3.45976
3.46648,3.45661
3.46331,3.45347
3.46015,3.45033
3.45699,3.4472
3.45384,3.44408
3.4507,3.44097
3.44756,3.43786
3.44444,3.43476
3.44132,3.43167
3.4382,3.42859
3.4351,3.42551
3.432,3.42245
3.42891,3.41938
3.42583,3.41633
3.42276,3.41328
3.41969,3.41025
3.41663,3.40721
3.41358,3.40419
3.41053,3.40117
3.4075,3.39816
3.40446,3.39516
3.40144,3.39216
3.39842,3.38918
3.39542,3.38619
3.39241,3.38322
3.38942,3.38025
3.38643,3.37729
3.38345,3.37434
3.38048,3.37139
3.37751,3.36846
3.37455,3.36552
3.3716,3.3626
3.36865,3.35968
3.36572,3.35677
3.36278,3.35387
3.35986,3.35097
3.35694,3.34808
3.35403,3.34519
3.35113,3.34232
3.34823,3.33945
3.34534,3.33658
3.34246,3.33373
3.33958,3.33088
3.33671,3.32803
3.33385,3.3252
3.33099,3.32237
3.32814,3.31955
3.3253,3.31673
3.32246,3.31392
3.31963,3.31112
3.31681,3.30832
3.31399,3.30553
3.31118,3.30274
3.30837,3.29997
3.30558,3.2972
3.30279,3.29443
3.3,3.29167
3.29722,3.28892
3.29445,3.28618
3.29169,3.28344
3.28893,3.28071
3.28618,3.27798
3.28343,3.27526
3.28069,3.27255
3.27796,3.26984
3.27523,3.26714
3.27251,3.26444
3.26979,3.26175
3.26708,3.25907
3.26438,3.25639
3.26169,3.25372
3.259,3.25106
3.25631,3.2484
3.25363,3.24575
3.25096,3.2431
3.2483,3.24046
3.24564,3.23783
3.24298,3.2352
3.24034,3.23258
3.2377,3.22996
3.23506,3.22735
3.23243,3.22475
3.22981,3.22215
3.22719,3.21956
3.22458,3.21697
3.22197,3.21439
3.21937,3.21182
3.21678,3.20925
3.21419,3.20668
3.21161,3.20413
3.20903,3.20158
3.20646,3.19903
3.2039,3.19649
3.20134,3.19395
3.19878,3.19143
3.19623,3.1889
3.19369,3.18639
3.19116,3.18387
3.18862,3.18137
3.1861,3.17887
3.18358,3.17637
3.18107,3.17388
3.17856,3.1714
3.17605,3.16892
3.17356,3.16645
3.17106,3.16398
3.16858,3.16152
3.1661,3.15906
3.16362,3.15661
3.16115,3.15416
3.15869,3.15172
3.15623,3.14929
3.15377,3.14686
3.15133,3.14443
3.14888,3.14201
3.14645,3.1396
3.14401,3.13719
3.14159,3.13479
3.13916,3.13239
3.13675,3.13
3.13434,3.12761
3.13193,3.12523
3.12953,3.12285
3.12714,3.12048
3.12474,3.11811
3.12236,3.11575
3.11998,3.11339
3.11761,3.11104
3.11524,3.1087
3.11287,3.10635
3.11051,3.10402
3.10816,3.10169
3.10581,3.09936
3.10346,3.09704
3.10113,3.09472
3.09879,3.09241
3.09646,3.09011
3.09414,3.08781
3.09182,3.08551
3.08951,3.08322
3.0872,3.08093
3.08489,3.07865
3.08259,3.07637
3.0803,3.0741
3.07801,3.07184
3.07572,3.06957
3.07344,3.06732
3.07117,3.06506
3.0689,3.06282
3.06663,3.06057
3.06437,3.05834
3.06212,3.0561
3.05987,3.05387
3.05762,3.05165
3.05538,3.04943
3.05314,3.04722
3.05091,3.04501
3.04868,3.0428
3.04646,3.0406
3.04424,3.0384
3.04203,3.03621
3.03982,3.03403
3.03762,3.03184
3.03542,3.02967
3.03322,3.02749
3.03103,3.02533
3.02885,3.02316
3.02667,3.021
3.02449,3.01885
3.02232,3.0167
3.02015,3.01455
3.01799,3.01241
3.01583,3.01027
3.01368,3.00814
3.01153,3.00601
3.00938,3.00389
3.00724,3.00177
3.0051,2.99965
3.00297,2.99754
3.00084,2.99544
2.99872,2.99333
2.9966,2.99124
2.99449,2.98914
2.99238,2.98706
2.99027,2.98497
2.98817,2.98289
2.98607,2.98081
2.98398,2.97874
2.98189,2.97667
2.97981,2.97461
2.97773,2.97255
2.97565,2.9705
2.97358,2.96845
2.97151,2.9664
2.96945,2.96436
2.96739,2.96232
2.96534,2.96028
2.96329,2.95825
2.96124,2.95623
2.9592,2.95421
2.95716,2.95219
2.95513,2.95017
2.9531,2.94816
2.95107,2.94616
2.94905,2.94416
2.94703,2.94216
2.94502,2.94017
2.94301,2.93818
2.941,2.93619
2.939,2.93421
2.937,2.93223
2.93501,2.93026
2.93302,2.92829
2.93103,2.92632
2.92905,2.92436
2.92707,2.9224
2.9251,2.92045
2.92313,2.9185
2.92116,2.91655
2.9192,2.91461
2.91724,2.91267
2.91529,2.91074
2.91334,2.90881
2.91139,2.90688
2.90945,2.90496
2.90751,2.90304
2.90557,2.90112
2.90364,2.89921
2.90172,2.8973
2.89979,2.8954
2.89787,2.8935
2.89596,2.8916
2.89404,2.88971
2.89213,2.88782
2.89023,2.88593
2.88833,2.88405
2.88643,2.88217
2.88454,2.8803
2.88265,2.87842
2.88076,2.87656
2.87888,2.87469
2.877,2.87283
2.87512,2.87098
2.87325,2.86912
2.87138,2.86727
2.86952,2.86543
2.86766,2.86359
2.8658,2.86175
2.86395,2.85991
2.8621,2.85808
2.86025,2.85625
2.85841,2.85443
2.85657,2.85261
2.85473,2.85079
2.8529,2.84898
2.85107,2.84717
2.84924,2.84536
2.84742,2.84356
2.8456,2.84176
2.84379,2.83996
2.84198,2.83817
2.84017,2.83638
2.83836,2.83459
2.83656,2.83281
2.83477,2.83103
2.83297,2.82925
2.83118,2.82748
2.82939,2.82571
2.82761,2.82394
2.82583,2.82218
2.82405,2.82042
2.82228,2.81866
2.82051,2.81691
2.81874,2.81516
2.81697,2.81342
2.81521,2.81167
2.81346,2.80993
2.8117,2.8082
2.80995,2.80646
2.8082,2.80474
2.80646,2.80301
2.80472,2.80129
2.80298,2.79957
2.80125,2.79785
2.79952,2.79613
2.79779,2.79442
2.79606,2.79272
2.79434,2.79101
2.79262,2.78931
2.79091,2.78761
2.7892,2.78592
2.78749,2.78423
2.78578,2.78254
2.78408,2.78086
2.78238,2.77917
2.78068,2.7775
2.77899,2.77582
2.7773,2.77415
2.77561,2.77248
2.77393,2.77081
2.77225,2.76915
2.77057,2.76749
2.7689,2.76583
2.76723,2.76418
2.76556,2.76252
2.76389,2.76088
2.76223,2.75923
2.76057,2.75759
2.75892,2.75595
2.75726,2.75431
2.75561,2.75268
2.75397,2.75105
2.75232,2.74942
2.75068,2.7478
2.74904,2.74618
2.74741,2.74456
2.74578,2.74294
2.74415,2.74133
2.74252,2.73972
2.7409,2.73812
2.73928,2.73651
2.73766,2.73491
2.73605,2.73331
2.73443,2.73172
2.73283,2.73013
2.73122,2.72854
2.72962,2.72695
2.72802,2.72537
2.72642,2.72379
2.72483,2.72221
2.72323,2.72064
2.72165,2.71906
2.72006,2.71749
2.71848,2.71593
2.7169,2.71436
2.71532,2.7128
2.71375,2.71124
2.71218,2.70969
2.71061,2.70814
2.70904,2.70659
2.70748,2.70504
2.70592,2.7035
2.70436,2.70195
2.70281,2.70042
2.70125,2.69888
2.6997,2.69735
2.69816,2.69582
2.69661,2.69429
2.69507,2.69276
2.69353,2.69124
2.692,2.68972
2.69047,2.6882
2.68894,2.68669
2.68741,2.68518
2.68588,2.68367
2.68436,2.68216
2.68284,2.68066
2.68132,2.67916
2.67981,2.67766
2.6783,2.67616
2.67679,2.67467
2.67528,2.67318
2.67378,2.67169
2.67228,2.6702
2.67078,2.66872
2.66928,2.66724
2.66779,2.66576
2.6663,2.66429
2.66481,2.66282
2.66333,2.66135
2.66184,2.65988
2.66036,2.65841
2.65889,2.65695
2.65741,2.65549
2.65594,2.65403
2.65447,2.65258
2.653,2.65113
2.65154,2.64968
2.65007,2.64823
2.64861,2.64679
2.64716,2.64534
2.6457,2.6439
2.64425,2.64247
2.6428,2.64103
2.64135,2.6396
2.63991,2.63817
2.63846,2.63674
2.63702,2.63532
2.63559,2.63389
2.63415,2.63247
2.63272,2.63106
2.63129,2.62964
2.62986,2.62823
2.62843,2.62682
2.62701,2.62541
2.62559,2.624
2.62417,2.6226
2.62276,2.6212
2.62134,2.6198
2.61993,2.6184
2.61852,2.61701
2.61712,2.61562
2.61571,2.61423
2.61431,2.61284
